iter	Passed	Remaining
292	553	1334
293	554	1331
294	555	1327
295	556	1323
296	557	1319
297	558	1315
298	559	1311
299	560	1308
300	561	1304
301	562	1300
302	563	1296
303	564	1293
304	566	1289
305	567	1286
306	568	1283
307	570	1280
308	571	1277
309	572	1274
310	573	1271
311	575	1268
312	576	1265
313	577	1262
314	579	1259
315	580	1257
316	582	1255
317	584	1253
318	586	1251
319	587	1248
320	588	1245
321	590	1242
322	591	1239
323	592	1236
324	593	1233
325	595	1230
326	596	1227
327	597	1224
328	599	1223
329	601	1220
330	602	1218
331	604	1216
332	606	1213
333	607	1211
334	608	1208
335	610	1206
336	611	1203
337	613	1200
338	614	1198
339	616	1196
340	617	1193
341	618	1190
342	620	1187
343	621	1184
344	623	1183
345	624	1180
346	625	1177
347	626	1174
348	627	1170
349	629	1169
350	631	1166
351	632	1164
352	633	1161
353	635	1159
354	636	1157
355	637	1153
356	639	1151
357	640	1148
358	641	1145
359	642	1142
360	644	1141
361	646	1139
362	647	1136
363	648	1133
364	650	1131
365	651	1129
366	653	1127
367	654	1124
368	656	1122
369	657	1119
370	658	1116
371	660	1115
372	662	1113
373	663	1110
374	664	1108
375	666	1105
376	667	1103
377	668	1100
378	669	1097
379	671	1095
380	672	1092
381	673	1089
382	674	1087
383	676	1085
384	678	1083
385	679	1080
386	680	1078
387	682	1075
388	683	1073
389	684	1071
390	685	1068
391	687	1065
392	688	1063
393	690	1061
394	692	1060
395	693	1058
396	695	1056
397	696	1053
398	697	1051
399	699	1049
400	700	1046
401	701	1044
402	703	1041
403	704	1039
404	706	1037
405	708	1037
406	710	1034
407	711	1033
408	713	1031
409	715	1029
410	716	1026
411	718	1024
412	719	1022
413	721	1021
414	723	1019
415	725	1017
416	726	1015
417	728	1013
418	729	1010
419	730	1009
420	732	1006
421	733	1004
422	734	1002
423	736	1000
424	737	998
425	739	995
426	740	993
427	741	991
428	743	989
429	744	986
430	745	984
431	746	981
432	748	979
433	749	977
434	751	975
435	752	973
436	754	972
437	756	970
438	758	969
439	760	967
440	762	965
441	763	963
442	764	961
443	765	959
444	768	958
445	769	956
446	770	953
447	772	951
448	773	949
449	774	946
450	775	944
451	776	941
452	777	939
453	778	936
454	780	934
455	781	932
456	782	930
457	783	927
458	785	925
459	786	923
